"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-06","1938","06","22.4","","7.9","","15.2","","30.0","","1.1","S","71.4","","0.0","","71.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-07","1938","07","24.4","","10.1","","17.3","","30.6","","1.7","","85.3","","0.0","","85.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-08","1938","08","19.8","","7.2","","13.5","","26.7","","0.6","","99.8","","0.0","","99.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-09","1938","09","24.0","","6.3","","15.2","","31.1","","1.1","S","3.0","","0.0","","3.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-10","1938","10","14.2","","0.1","","7.2","","22.8","S","-6.7","","20.8","","1.3","","22.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-11","1938","11","-0.4","","-9.7","","-5.1","","6.7","S","-19.4","","0.0","T","36.6","","36.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1938-12","1938","12","-4.7","","-15.4","","-10.1","","6.7","","-48.3","","0.0","T","34.3","","34.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-01","1939","01","-4.1","","-14.7","","-9.4","","5.6","","-31.1","","0.0","T","22.4","","22.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-02","1939","02","-12.6","","-22.7","","-17.7","","7.2","","-46.1","","0.3","","58.2","","58.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-03","1939","03","-1.2","","-14.1","","-7.7","","13.9","","-36.1","","2.8","","18.3","","21.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-04","1939","04","12.3","","-1.2","","5.6","","31.1","","-15.6","","14.2","","5.8","","20.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-05","1939","05","17.7","","5.4","","11.6","","30.0","","-5.0","","134.1","","0.0","","134.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-06","1939","06","17.5","","5.9","","11.7","","27.2","","-1.1","","36.6","","0.0","","36.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-07","1939","07","24.5","","10.1","","17.3","","32.2","","3.3","","32.5","","0.0","","32.5","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-08","1939","08","24.8","","7.6","","16.2","","32.2","S","2.2","","0.8","","0.0","","0.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-09","1939","09","16.4","","2.9","","9.7","","26.7","","-7.2","","44.5","","1.5","","46.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-10","1939","10","6.3","","-3.7","","1.3","","16.7","","-25.0","","10.9","","33.0","","38.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-11","1939","11","5.7","","-3.9","","0.9","","10.6","S","-11.1","","3.6","","8.9","","12.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1939-12","1939","12","0.4","","-8.3","","-4.0","","16.1","","-22.2","S","3.8","","7.6","","11.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-01","1940","01","-11.6","","-21.1","","-16.4","","8.9","","-36.1","","0.0","","23.9","","23.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-02","1940","02","-7.3","","-15.2","","-11.3","","7.2","","-36.1","","0.0","T","14.2","","14.2","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-03","1940","03","-0.8","","-9.0","","-4.9","","7.2","","-21.7","","0.0","","70.1","","70.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-04","1940","04","5.4","","-3.1","","1.2","","16.7","","-22.2","","41.7","","24.9","","66.5","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-05","1940","05","19.1","","5.6","","12.4","","30.0","","0.0","S","60.5","","0.0","","60.5","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-06","1940","06","19.6","","7.0","","13.3","","26.1","","0.0","","63.0","","0.0","","63.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-07","1940","07","21.8","","9.7","","15.8","","30.6","","3.3","","77.0","","0.0","","77.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-08","1940","08","24.1","","7.3","","15.7","","32.2","S","1.1","","26.4","","0.0","","26.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-09","1940","09","21.4","","4.6","","13.0","","27.2","","-2.8","","3.3","","0.0","","3.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-10","1940","10","12.3","","0.0","","6.2","","25.6","","-7.2","","43.7","","3.8","","47.5","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-11","1940","11","-5.9","","-14.1","","-10.0","","8.9","","-32.8","","0.3","","39.4","","39.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1940-12","1940","12","-5.1","","-14.7","","-9.9","","4.4","","-28.9","","4.3","","8.6","","13.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-01","1941","01","-9.8","","-20.2","","-15.0","","11.7","","-37.2","","0.0","","13.0","","13.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-02","1941","02","-6.6","","-16.0","","-11.3","","5.6","","-33.3","","0.0","T","9.9","","9.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-03","1941","03","1.1","","-9.6","","-4.3","","16.1","","-26.1","","0.3","","7.4","","7.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-04","1941","04","15.7","","0.3","","8.0","","27.8","","-6.7","","2.3","","1.8","","4.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-05","1941","05","16.7","","3.6","","10.2","","28.9","","-2.2","S","17.5","","0.8","","18.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-06","1941","06","22.4","","8.8","","15.6","","30.0","","-1.1","S","132.8","","0.0","","132.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-07","1941","07","25.7","","11.8","","18.8","","34.4","","6.1","S","43.4","","0.0","","43.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-08","1941","08","22.5","","7.6","","15.1","","28.9","S","0.6","","85.6","","0.0","","85.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-09","1941","09","13.1","","1.7","","7.4","","20.6","","-6.7","","17.8","","6.1","","23.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-10","1941","10","11.8","","-0.9","","5.5","","19.4","","-12.2","","27.4","","3.8","","31.2","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-11","1941","11","4.4","","-6.3","","-1.0","","16.1","","-21.7","","2.5","","15.0","","17.5","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1941-12","1941","12","-5.6","","-16.7","","-11.2","","14.4","","-31.1","","0.0","","11.9","","11.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-01","1942","01","0.4","","-12.1","","-5.9","","8.9","S","-35.6","","0.0","T","4.8","","4.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-02","1942","02","-4.6","","-14.9","","-9.8","","6.1","","-29.4","","0.0","T","13.0","","13.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-03","1942","03","4.7","","-6.5","","-0.9","","20.6","","-20.6","","0.0","T","7.6","","7.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-04","1942","04","10.4","","-2.5","","4.0","","26.7","","-16.1","","10.7","","26.4","","37.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-05","1942","05","17.5","","2.4","","10.0","","28.3","","-12.2","","42.7","","0.0","T","42.7","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-06","1942","06","19.9","","7.1","","13.5","","29.4","","0.0","","172.2","","0.0","","172.2","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-07","1942","07","23.2","","11.0","","17.1","","32.2","","6.1","","89.4","","0.0","","89.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-08","1942","08","22.3","","8.8","","15.6","","30.6","","2.2","S","56.4","","0.0","","56.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-09","1942","09","17.0","","4.1","","10.6","","27.2","","-2.2","","37.6","","0.0","T","37.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-10","1942","10","12.2","","0.1","","6.2","","27.8","","-15.0","","1.0","","13.0","","14.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-11","1942","11","-5.2","","-13.7","","-9.5","","10.0","","-25.0","S","0.0","","78.7","","78.7","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1942-12","1942","12","-10.7","","-20.8","","-15.8","","7.2","","-31.7","","0.8","","35.3","","36.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-01","1943","01","-13.6","","-24.3","","-19.0","","9.4","","-44.4","","1.3","","18.5","","19.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-02","1943","02","-1.7","","-12.4","","-7.1","","10.0","","-37.2","","0.5","","17.3","","17.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-03","1943","03","-4.1","","-14.7","","-9.4","","10.0","","-32.2","","0.0","","33.3","","33.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-04","1943","04","12.5","","0.3","","6.4","","25.0","","-12.2","","14.0","","1.0","","15.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-05","1943","05","15.1","","3.1","","9.1","","25.6","","-3.3","S","41.7","","3.8","","45.5","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-06","1943","06","17.9","","7.4","","12.7","","27.2","","1.1","S","127.3","","0.0","","127.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-07","1943","07","23.7","","10.8","","17.3","","29.4","","5.6","S","65.3","","0.0","","65.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-08","1943","08","21.3","","9.2","","15.3","","27.8","","4.4","S","99.8","","0.0","","99.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-09","1943","09","19.2","","4.0","","11.6","","29.4","","-1.7","S","10.9","","0.0","","10.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-10","1943","10","12.0","","1.2","","6.6","","27.8","","-7.2","","32.8","","4.6","","37.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-11","1943","11","6.5","","-4.0","","1.3","","11.7","","-10.0","","3.3","","4.6","","7.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1943-12","1943","12","0.7","","-8.7","","-4.0","","8.9","","-20.0","","0.3","","11.7","","11.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-01","1944","01","-2.6","","-13.3","","-8.0","","10.0","","-30.0","","0.0","T","10.2","","10.2","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-02","1944","02","-5.9","","-15.0","","-10.5","","3.3","","-32.2","","0.0","T","38.6","","38.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-03","1944","03","-1.2","","-11.5","","-6.4","","15.0","","-27.8","","1.5","","32.5","","34.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-04","1944","04","15.2","","0.9","","8.1","","24.4","","-3.9","","15.7","","2.0","","17.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-05","1944","05","18.3","","5.5","","11.9","","28.3","","-3.9","","75.9","","10.7","","86.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-06","1944","06","19.4","","8.7","","14.1","","27.8","","3.3","","127.0","","0.0","","127.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-07","1944","07","22.4","","10.5","","16.5","","29.4","","5.0","","77.0","","0.0","","77.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-08","1944","08","21.8","","8.7","","15.3","","28.3","","2.8","","30.0","","0.0","","30.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-09","1944","09","17.4","","6.1","","11.8","","29.4","","-6.1","","30.7","","1.3","","32.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-10","1944","10","16.4","","0.9","","8.7","","24.4","","-4.4","","6.1","","0.5","","6.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-11","1944","11","-1.1","","-8.2","","-4.7","","11.1","","-27.8","","1.3","","17.5","","18.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1944-12","1944","12","-4.1","","-13.7","","-8.9","","6.7","","-28.9","","0.0","T","11.7","","11.7","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-01","1945","01","-6.4","","-17.2","","-11.8","","4.4","S","-31.1","","0.3","","47.0","","47.2","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-02","1945","02","-4.7","","-16.1","","-10.4","","6.1","","-35.0","","1.8","","10.4","","12.2","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-03","1945","03","3.2","","-7.2","","-2.0","","11.7","","-32.8","","2.0","","2.8","","4.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-04","1945","04","5.8","","-5.8","","0.0","","18.3","","-16.1","","13.2","","9.9","","23.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-05","1945","05","16.4","","2.7","","9.6","","30.0","","-8.9","","8.1","","0.0","T","8.1","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-06","1945","06","20.2","","7.2","","13.7","","30.0","","1.1","","37.8","","0.0","","37.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-07","1945","07","24.4","","10.6","","17.5","","33.3","","5.6","","84.3","","0.0","","84.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-08","1945","08","22.7","","10.2","","16.5","","30.6","","3.3","","54.4","","0.0","","54.4","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-09","1945","09","15.1","","3.8","","9.5","","25.6","","-6.7","","21.6","","0.0","T","21.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-10","1945","10","11.5","","-0.9","","5.3","","28.3","","-13.9","","17.0","","20.3","","37.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-11","1945","11","-7.6","","-15.9","","-11.8","","10.0","","-27.2","","6.9","","10.2","","17.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1945-12","1945","12","-9.2","","-18.5","","-13.9","","6.1","","-36.1","","0.0","T","20.6","","20.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-01","1946","01","-5.4","","-16.1","","-10.8","","3.9","","-26.1","","0.0","","36.6","","36.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-02","1946","02","-6.5","","-19.1","","-12.8","","5.0","","-35.0","","0.0","","22.6","","22.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-03","1946","03","4.3","","-5.8","","-0.8","","13.9","","-16.7","","0.0","T","5.8","","5.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-04","1946","04","13.9","","-0.1","","6.9","","25.0","","-8.3","","10.7","","8.1","","18.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-05","1946","05","16.7","","3.1","","9.9","","29.4","","-6.1","S","19.6","","0.0","T","19.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-06","1946","06","18.6","","7.5","","13.1","","27.8","","2.2","","107.7","","0.0","","107.7","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-07","1946","07","24.0","","10.7","","17.4","","31.1","S","0.6","","71.9","","0.0","","71.9","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-08","1946","08","22.1","","8.6","","15.4","","30.6","","2.8","S","98.3","","0.0","","98.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-09","1946","09","16.7","","3.8","","10.3","","28.3","","-2.8","","38.6","","0.0","T","38.6","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-10","1946","10","9.7","","-2.5","","3.6","","16.1","","-12.8","","4.1","","1.3","","5.3","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-11","1946","11","-3.1","","-12.4","","-7.8","","18.3","","-31.1","","2.5","","19.3","","21.8","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1946-12","1946","12","-8.4","","-18.7","","-13.6","","6.1","","-32.8","","0.0","T","30.0","","30.0","","","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-01","1947","01","-5.9","","-16.9","","-11.4","","8.9","S","-39.4","","0.8","","30.7","","31.5","","15","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-02","1947","02","-10.8","","-21.4","","-16.1","","6.7","","-42.8","","0.0","T","33.5","","33.5","","41","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-03","1947","03","-1.3","","-12.2","","-6.8","","13.9","","-34.4","","2.3","","9.1","","11.4","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-04","1947","04","10.0","","-0.9","","4.6","","26.1","","-9.4","S","21.1","","22.1","","43.2","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-05","1947","05","16.5","","3.9","","10.2","","23.3","","-2.8","","27.7","","0.0","","27.7","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-06","1947","06","19.2","","8.3","","13.8","","23.9","","4.4","","67.3","","0.0","","67.3","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-07","1947","07","25.8","","10.8","","18.3","","29.4","S","3.9","","64.0","","0.0","","64.0","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-08","1947","08","19.6","","8.3","","14.0","","28.3","","2.2","","61.2","","0.0","","61.2","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-09","1947","09","15.2","","4.0","","9.6","","25.6","S","0.0","S","78.5","","0.0","T","78.5","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-10","1947","10","12.4","","0.6","","6.5","","22.8","","-7.8","","26.7","","1.0","","27.7","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-11","1947","11","-0.9","","-7.9","","-4.4","","10.0","","-16.1","","4.1","","15.7","","19.8","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1947-12","1947","12","-3.4","","-12.1","","-7.8","","6.1","","-21.1","","0.0","","33.8","","33.8","","13","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-01","1948","01","-0.9","","-12.1","","-6.5","","8.3","","-26.1","","2.8","","23.9","","26.7","","5","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-02","1948","02","-11.1","","-22.0","","-16.6","","6.1","","-34.4","","0.0","","48.5","","48.5","","30","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-03","1948","03","-4.2","","-15.0","","-9.6","","5.0","","-30.6","","0.0","T","13.0","","13.0","","5","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-04","1948","04","1.7","","-7.5","","-2.9","","13.9","S","-24.4","","12.2","","60.2","","72.4","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-05","1948","05","17.8","","6.4","","12.1","","27.2","","1.1","","43.4","","0.0","T","43.4","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-06","1948","06","22.9","","9.9","","16.4","","30.6","","5.6","","37.6","","0.0","","37.6","","","M","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-07","1948","07","23.7","","11.2","","17.5","","29.4","","6.7","","67.8","","0.0","","67.8","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-08","1948","08","21.7","","8.9","","15.3","","28.3","","2.2","","34.8","","0.0","","34.8","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-09","1948","09","17.7","","4.5","","11.1","","26.7","S","-4.4","","26.4","","0.0","","26.4","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-10","1948","10","13.9","","-1.2","","6.4","","22.8","","-10.6","","3.8","","0.5","","4.3","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-11","1948","11","1.4","","-7.1","","-2.9","","8.9","","-19.4","","6.9","","5.6","","12.4","","3","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1948-12","1948","12","-10.0","","-19.1","","-14.6","","4.4","","-34.4","","0.0","T","15.0","","15.0","","3","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1949-01","1949","01","-9.6","","-21.5","","-15.6","","7.8","","-37.8","","0.0","T","25.7","","25.7","","10","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1949-02","1949","02","-13.6","","-23.6","","-18.6","","8.3","","-36.1","","0.0","","19.1","","19.1","","8","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1949-03","1949","03","1.9","","-8.7","","-3.4","","12.8","","-24.4","","0.0","T","10.9","","10.9","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1949-04","1949","04","15.3","","1.9","","8.6","","24.4","","-4.4","","5.1","","0.0","","5.1","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1949-05","1949","05","18.3","","4.8","","11.6","","27.8","","-4.4","","35.3","","0.0","T","35.3","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1949-06","1949","06","20.8","","7.4","","14.1","","31.7","","1.7","","11.4","","0.0","","11.4","","0","","","","",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1949-07","1949","07","23.4","","10.0","","16.7","","32.8","","1.7","","126.0","","0.0","","126.0","","0","","","","",""
