"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-09","1981","09","19.4","","10.3","","14.9","","30.0","","4.0","","65.6","","0.0","","65.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-10","1981","10","13.3","","6.0","","9.7","","16.0","S","0.5","","176.6","","0.0","","176.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-11","1981","11","11.5","","5.1","","8.3","","19.5","","-0.5","","152.4","","0.0","","152.4","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1981-12","1981","12","6.6","","2.0","","4.3","","13.0","","-3.0","","154.4","","14.5","","168.9","","0","T","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-01","1982","01","4.3","","-0.1","","2.1","","9.5","","-12.0","","173.8","","43.4","","217.2","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-02","1982","02","7.2","","1.4","","4.3","","12.5","","-4.5","","229.4","","6.5","","235.9","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-03","1982","03","10.0","","1.9","","6.0","","16.0","","-1.5","S","50.6","","0.0","T","50.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-04","1982","04","12.6","","3.5","","8.1","","21.5","","0.0","S","61.8","","0.0","","61.8","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-05","1982","05","16.6","","7.2","","11.9","","25.0","","2.5","","24.9","","0.0","","24.9","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-06","1982","06","21.1","","11.4","","16.3","","32.0","","6.0","S","21.7","E","0.0","","21.7","E","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-07","1982","07","20.6","","12.1","","16.4","","29.0","","9.0","","63.3","","0.0","","63.3","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-08","1982","08","21.5","","11.5","","16.5","","30.0","","8.0","","34.4","","0.0","","34.4","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-09","1982","09","19.7","","10.2","","15.0","","26.0","","4.5","","41.5","","0.0","","41.5","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-10","1982","10","14.8","","6.8","","10.8","","21.0","","0.0","","80.3","","0.0","","80.3","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-11","1982","11","7.6","","1.4","","4.5","","13.0","","-5.5","","163.6","","0.0","","163.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1982-12","1982","12","7.2","","1.2","","4.2","","12.0","S","-4.5","","117.5","","0.0","","117.5","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-01","1983","01","9.2","","4.0","","6.6","","14.0","","-2.0","S","172.3","","0.0","","172.3","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-02","1983","02","10.4","","4.0","","7.2","","16.0","","-2.0","S","143.1","","0.0","","143.1","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-03","1983","03","12.7","","5.1","","8.9","","17.5","","1.0","","117.8","","0.0","","117.8","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-04","1983","04","14.6","","4.8","","9.7","","21.5","","0.5","","75.9","","0.0","","75.9","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-05","1983","05","18.4","","8.8","","13.6","","33.5","","5.0","","52.8","","0.0","","52.8","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-06","1983","06","18.7","","11.0","","14.9","","23.5","","8.0","","55.5","","0.0","","55.5","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-07","1983","07","20.5","","11.9","","16.2","","28.5","","8.0","","99.0","","0.0","","99.0","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-08","1983","08","22.0","","12.4","","17.2","","28.0","","9.0","","68.6","","0.0","","68.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-09","1983","09","18.1","","8.7","","13.4","","24.0","","2.0","","78.1","","0.0","","78.1","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-10","1983","10","13.7","","5.9","","9.8","","16.0","S","2.0","","88.2","","0.0","","88.2","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-11","1983","11","10.2","","5.6","","7.9","","15.5","","0.5","S","239.4","","0.0","","239.4","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1983-12","1983","12","3.8","","-2.0","","0.9","","10.5","","-13.0","","71.1","E","2.0","E","73.1","E","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-01","1984","01","7.7","","2.4","","5.1","","13.0","","-6.0","","218.6","","3.0","","221.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-02","1984","02","9.4","","3.6","","6.5","","12.0","S","-1.5","","113.8","","0.0","T","113.8","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-03","1984","03","12.1","","4.6","","8.4","","17.0","","0.5","","100.7","","0.0","","100.7","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-04","1984","04","13.0","","4.9","","9.0","","22.0","","0.0","","74.7","","0.0","","74.7","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-05","1984","05","15.0","","7.2","","11.1","","25.0","","3.0","","137.6","","0.0","","137.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-06","1984","06","18.3","","10.5","","14.4","","26.5","","6.0","","81.7","","0.0","","81.7","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-07","1984","07","22.1","","11.4","","16.8","","31.5","","9.0","S","2.7","","0.0","","2.7","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-08","1984","08","21.7","","11.7","","16.7","","27.0","","8.0","S","27.5","","0.0","","27.5","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-09","1984","09","19.0","","9.1","","14.1","","26.0","","2.5","","50.8","","0.0","","50.8","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-10","1984","10","12.4","","5.6","","9.0","","20.0","","-6.0","","100.0","","2.0","","102.0","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-11","1984","11","8.6","","3.6","","6.1","","13.5","","-1.5","","213.1","E","6.9","E","220.0","E","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1984-12","1984","12","3.0","","-1.8","","0.6","","9.0","","-10.0","","96.8","","28.0","","124.8","","10","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-01","1985","01","5.1","","-1.6","","1.8","","9.0","","-11.0","","28.7","","6.0","","34.7","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-02","1985","02","6.7","","0.8","","3.8","","10.0","S","-6.5","","58.7","","10.0","","68.7","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-03","1985","03","10.0","","1.4","","5.7","","15.5","","-3.0","","84.6","E","3.6","E","88.2","E","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-04","1985","04","12.8","","5.2","","9.0","","19.0","S","-0.5","","76.5","E","0.4","E","76.9","E","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-05","1985","05","16.8","","7.8","","12.3","","26.5","","2.0","","59.4","","0.0","","59.4","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-06","1985","06","19.5","","9.7","","14.6","","28.0","","5.5","","44.8","","0.0","","44.8","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-07","1985","07","25.0","","11.7","","18.4","","31.5","","6.0","","1.6","","0.0","","1.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-08","1985","08","22.4","","10.8","","16.6","","29.0","S","7.0","","23.2","","0.0","","23.2","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-09","1985","09","18.2","","8.7","","13.5","","22.5","","4.0","S","67.3","","0.0","","67.3","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-10","1985","10","13.0","","6.8","","9.9","","17.5","S","0.5","S","238.0","","0.0","","238.0","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-11","1985","11","2.8","","-2.8","","0.0","","12.0","","-14.5","","78.2","","17.0","","95.2","","8","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1985-12","1985","12","4.5","","-1.6","","1.5","","9.0","","-8.5","","42.5","","7.0","","49.5","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-01","1986","01","9.5","","3.7","","6.6","","15.0","","0.5","S","168.1","E","0.5","E","168.6","E","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-02","1986","02","8.0","","0.8","","4.4","","20.0","","-10.5","","105.6","E","16.0","E","121.6","E","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-03","1986","03","12.3","","4.8","","8.6","","19.0","","0.5","S","115.6","","0.0","","115.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-04","1986","04","11.5","","4.7","","8.1","","19.5","","-0.5","","107.0","","0.0","","107.0","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-05","1986","05","16.6","","8.1","","12.4","","26.0","","4.0","S","100.7","","0.0","","100.7","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-06","1986","06","20.6","","10.8","","15.7","","28.0","","7.0","","42.6","","0.0","","42.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-07","1986","07","19.4","","11.2","","15.3","","23.5","","5.5","","55.8","","0.0","","55.8","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-08","1986","08","24.2","","12.5","","18.4","","31.5","","8.0","","0.2","","0.0","","0.2","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-09","1986","09","18.8","","9.7","","14.3","","29.5","S","5.0","","55.5","","0.0","","55.5","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-10","1986","10","15.7","","6.6","","11.2","","21.5","","2.0","","59.0","","0.0","","59.0","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-11","1986","11","8.8","","3.6","","6.2","","14.0","","-1.5","S","177.6","","0.0","T","177.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1986-12","1986","12","7.8","","1.7","","4.8","","12.0","","-4.0","","100.3","","0.0","","100.3","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-01","1987","01","7.2","","1.6","","4.4","","14.0","","-5.5","","125.6","","0.0","T","125.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-02","1987","02","10.4","","3.4","","6.9","","16.0","","-2.0","","47.8","E","1.0","E","48.8","E","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-03","1987","03","12.6","","4.6","","8.6","","19.5","","0.0","","118.9","","0.0","","118.9","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-04","1987","04","15.2","","6.0","","10.6","","27.0","","1.5","","99.6","","0.0","","99.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-05","1987","05","17.7","","8.0","","12.9","","26.0","","5.0","","86.2","","0.0","","86.2","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-06","1987","06","20.6","","10.1","","15.4","","28.5","","4.5","","10.5","","0.0","","10.5","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-07","1987","07","21.4","","12.0","","16.7","","27.5","","8.5","","34.6","","0.0","","34.6","","0","","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-08","1987","08","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-09","1987","09","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-10","1987","10","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-11","1987","11","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-122.77","49.03","SURREY WHITE ROCK","1107H7R","1987-12","1987","12","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
